symbol,series,open,high,low,close,last,tottrdqty,timestamp,gain
COUNCODOS,BE,4.85,5.3,4.85,5.3,5.3,126653,2022-12-16,0.09278356596924234
PALREDTEC,EQ,151.55,167.25,151.55,165.5,167.25,42661,2022-12-16,0.09204880677882891
FACT,EQ,186.15,223.9,184.0,223.8,223.9,20725266,2022-12-15,0.20225630077758758
MADRASFERT,EQ,61.35,73.65,61.0,73.65,73.65,13317041,2022-12-15,0.20048905228491978
INDBANK,EQ,33.05,39.5,32.65,38.1,38.65,9870886,2022-12-15,0.1527987701554238
SWASTIK,SM,79.9,94.9,77.1,91.25,94.9,207600,2022-12-15,0.1420525438969476
AGROPHOS,EQ,37.8,45.25,37.8,42.85,42.75,642205,2022-12-15,0.13359786611078386
GREENPOWER,EQ,9.25,10.7,9.25,10.4,10.65,37117629,2022-12-15,0.12432428308435388
UCL,SM,62.2,69.7,62.2,69.7,69.7,12000,2022-12-15,0.12057871532650281
MIRCELECTR,EQ,16.3,18.85,16.15,18.2,18.45,5916134,2022-12-15,0.11656451624604752
INDIANCARD,EQ,203.95,236.8,203.95,227.35,225.25,129301,2022-12-15,0.11473405003880349
ARIES,EQ,158.15,182.8,154.65,176.2,175.9,1416078,2022-12-15,0.11413217672061547
GICRE,EQ,160.0,181.8,160.0,177.1,176.7,17307208,2022-12-15,0.10687503814697266
NFL,EQ,62.25,70.4,61.4,68.75,68.45,37509247,2022-12-15,0.10441767068273092
EMAMIREAL,EQ,72.0,84.95,70.5,79.2,79.1,1390305,2022-12-15,0.09999995761447483
SHAHALLOYS,EQ,61.05,67.15,61.05,67.15,67.15,96022,2022-12-15,0.0999181386576552
PROZONINTU,EQ,24.55,27.5,24.55,26.95,26.6,1956031,2022-12-15,0.09775973932642233
IOB,EQ,32.0,36.45,31.7,34.75,34.65,284921015,2022-12-15,0.0859375
MTNL,EQ,25.65,29.4,25.5,27.85,27.85,40880697,2022-12-15,0.0857700115266322
NAVA,EQ,186.45,209.25,185.0,202.35,207.0,2398079,2022-12-15,0.08527760480300367
UCOBANK,EQ,32.9,36.55,31.7,35.6,35.75,346176229,2022-12-15,0.08206677273611641
MHHL,SM,48.15,52.0,48.15,52.0,52.0,39000,2022-12-15,0.07995842891202937
DHANBANK,EQ,23.3,25.7,22.95,25.15,25.1,44131756,2022-12-15,0.07939916060285317
MAHINDCIE,EQ,292.0,318.0,288.95,314.85,316.0,4525434,2022-12-15,0.07825344555998502
KHAICHEM,EQ,75.2,82.2,74.0,81.05,81.4,1578542,2022-12-15,0.0777926375122329
UNIENTER,EQ,131.95,148.3,131.95,141.4,142.2,134962,2022-12-15,0.07161801566353183
LAXMICOT,EQ,23.75,26.0,23.7,25.45,25.45,149879,2022-12-15,0.0715789794921875
ONELIFECAP,EQ,13.55,16.05,12.25,16.05,16.05,396800,2022-12-14,0.18450177203946594
ANDREWYU,EQ,26.1,31.0,25.7,30.85,31.0,8884736,2022-12-14,0.1819923345048059
PEARLPOLY,EQ,22.6,27.6,22.6,26.45,26.5,635344,2022-12-14,0.17035399630463868
DYCL,EQ,173.6,204.0,173.5,199.3,200.0,853034,2022-12-14,0.1480414518702124
INDORAMA,EQ,56.95,66.9,56.6,64.7,65.0,1946142,2022-12-14,0.13608421565370882
NXTDIGITAL,EQ,97.25,110.2,94.2,110.2,110.2,122042,2022-12-14,0.13316192234696336
GTLINFRA,EQ,1.25,1.45,1.2,1.4,1.4,92707579,2022-12-14,0.11999998092651368
AHLUCONT,EQ,463.8,544.35,461.0,518.3,516.0,610097,2022-12-14,0.1175075494489399
SITINET,EQ,2.25,2.5,2.1,2.5,2.5,48896796,2022-12-14,0.1111111111111111
