symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_q_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
DEEPINDS, EQ,2022-12-22,258.45,258.45,262.3,246.55,257.0,260.6,254.38,69149,175.9,2623,33666,48.69
DELHIVERY, EQ,2022-12-22,336.55,344.0,344.0,326.05,331.0,330.55,331.14,515025,1705.44,13208,228379,44.34
DELPHIFX, EQ,2022-12-22,385.55,381.0,424.0,381.0,397.25,401.7,411.63,7796,32.09,1093,3022,38.76
DELTACORP, EQ,2022-12-22,209.65,213.0,214.3,206.1,208.8,208.05,209.39,4074547,8531.71,31692,1187852,29.15
DELTAMAGNT, EQ,2022-12-22,78.0,77.95,77.95,72.2,73.7,74.45,73.96,20777,15.37,471,14790,71.18
DEN, EQ,2022-12-22,36.55,36.85,37.3,34.55,35.05,35.05,35.64,1346666,479.89,6384,629224,46.72
DENORA, EQ,2022-12-22,655.05,660.9,662.0,625.7,640.0,643.85,638.41,6889,43.98,952,3173,46.06
DESTINY, SM,2022-12-22,19.65,18.7,20.6,18.7,20.6,20.6,20.49,234000,47.94,20,222000,94.87
DEVIT, EQ,2022-12-22,116.35,115.05,118.45,110.0,112.0,111.65,112.5,37337,42.01,918,18529,49.63
DEVYANI, EQ,2022-12-22,184.3,184.3,185.7,178.6,180.3,179.9,180.73,1672732,3023.09,25155,720860,43.09
DFMFOODS, EQ,2022-12-22,447.9,445.15,449.9,445.0,447.0,447.35,447.34,290575,1299.86,2976,212804,73.24
DGCONTENT, EQ,2022-12-22,14.8,15.3,15.3,14.25,14.5,14.65,14.59,17950,2.62,104,12262,68.31
